Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.8935,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\22_25N_BG_75.wav
0,3.0,Contopus virens,Eastern Wood-Pewee,0.0054,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\22_25N_BG_75.wav
0,3.0,Empidonax virescens,Acadian Flycatcher,0.0050,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\22_25N_BG_75.wav
0,3.0,Thryothorus ludovicianus,Carolina Wren,0.0018,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\22_25N_BG_75.wav
0,3.0,Zenaida macroura,Mourning Dove,0.0009,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\22_25N_BG_75.wav
0,3.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0003,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\22_25N_BG_75.wav
3.0,6.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0006,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\22_25N_BG_75.wav
3.0,6.0,Zenaida macroura,Mourning Dove,0.0006,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\22_25N_BG_75.wav
3.0,6.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0005,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\22_25N_BG_75.wav
3.0,6.0,Empidonax virescens,Acadian Flycatcher,0.0005,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\22_25N_BG_75.wav
3.0,6.0,Contopus virens,Eastern Wood-Pewee,0.0003,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\22_25N_BG_75.wav
3.0,6.0,Thryothorus ludovicianus,Carolina Wren,0.0002,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\22_25N_BG_75.wav
6.0,9.0,Empidonax virescens,Acadian Flycatcher,0.0010,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\22_25N_BG_75.wav
6.0,9.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0008,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\22_25N_BG_75.wav
6.0,9.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0004,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\22_25N_BG_75.wav
6.0,9.0,Zenaida macroura,Mourning Dove,0.0004,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\22_25N_BG_75.wav
6.0,9.0,Contopus virens,Eastern Wood-Pewee,0.0004,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\22_25N_BG_75.wav
6.0,9.0,Thryothorus ludovicianus,Carolina Wren,0.0001,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\22_25N_BG_75.wav
