Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Zenaida macroura,Mourning Dove,0.0028,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\PRidge_50m_0522.WAV
0,3.0,Contopus virens,Eastern Wood-Pewee,0.0015,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\PRidge_50m_0522.WAV
0,3.0,Thryothorus ludovicianus,Carolina Wren,0.0007,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\PRidge_50m_0522.WAV
0,3.0,Empidonax virescens,Acadian Flycatcher,0.0004,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\PRidge_50m_0522.WAV
0,3.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0003,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\PRidge_50m_0522.WAV
0,3.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0002,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\PRidge_50m_0522.WAV
1.5,4.5,Polioptila caerulea,Blue-gray Gnatcatcher,0.0017,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\PRidge_50m_0522.WAV
1.5,4.5,Zenaida macroura,Mourning Dove,0.0012,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\PRidge_50m_0522.WAV
1.5,4.5,Thryothorus ludovicianus,Carolina Wren,0.0011,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\PRidge_50m_0522.WAV
1.5,4.5,Coccyzus americanus,Yellow-billed Cuckoo,0.0010,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\PRidge_50m_0522.WAV
1.5,4.5,Contopus virens,Eastern Wood-Pewee,0.0006,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\PRidge_50m_0522.WAV
1.5,4.5,Empidonax virescens,Acadian Flycatcher,0.0002,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\PRidge_50m_0522.WAV
3.0,6.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0076,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\PRidge_50m_0522.WAV
3.0,6.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0029,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\PRidge_50m_0522.WAV
3.0,6.0,Zenaida macroura,Mourning Dove,0.0021,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\PRidge_50m_0522.WAV
3.0,6.0,Thryothorus ludovicianus,Carolina Wren,0.0018,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\PRidge_50m_0522.WAV
3.0,6.0,Empidonax virescens,Acadian Flycatcher,0.0017,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\PRidge_50m_0522.WAV
3.0,6.0,Contopus virens,Eastern Wood-Pewee,0.0013,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\PRidge_50m_0522.WAV
4.5,7.5,Thryothorus ludovicianus,Carolina Wren,0.0291,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\PRidge_50m_0522.WAV
4.5,7.5,Coccyzus americanus,Yellow-billed Cuckoo,0.0107,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\PRidge_50m_0522.WAV
