Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Thryothorus ludovicianus,Carolina Wren,0.6712,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\4_50N_CW5_75.wav
0,3.0,Contopus virens,Eastern Wood-Pewee,0.0164,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\4_50N_CW5_75.wav
0,3.0,Empidonax virescens,Acadian Flycatcher,0.0089,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\4_50N_CW5_75.wav
0,3.0,Zenaida macroura,Mourning Dove,0.0056,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\4_50N_CW5_75.wav
0,3.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0055,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\4_50N_CW5_75.wav
0,3.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0045,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\4_50N_CW5_75.wav
3.0,6.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0009,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\4_50N_CW5_75.wav
3.0,6.0,Empidonax virescens,Acadian Flycatcher,0.0007,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\4_50N_CW5_75.wav
3.0,6.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0004,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\4_50N_CW5_75.wav
3.0,6.0,Contopus virens,Eastern Wood-Pewee,0.0004,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\4_50N_CW5_75.wav
3.0,6.0,Zenaida macroura,Mourning Dove,0.0003,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\4_50N_CW5_75.wav
3.0,6.0,Thryothorus ludovicianus,Carolina Wren,0.0000,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\4_50N_CW5_75.wav
