Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Thryothorus ludovicianus,Carolina Wren,0.9608,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\10_50W_CW5_50.wav
0,3.0,Contopus virens,Eastern Wood-Pewee,0.0095,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\10_50W_CW5_50.wav
0,3.0,Empidonax virescens,Acadian Flycatcher,0.0039,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\10_50W_CW5_50.wav
0,3.0,Zenaida macroura,Mourning Dove,0.0019,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\10_50W_CW5_50.wav
0,3.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0010,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\10_50W_CW5_50.wav
0,3.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0005,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\10_50W_CW5_50.wav
3.0,6.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0007,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\10_50W_CW5_50.wav
3.0,6.0,Empidonax virescens,Acadian Flycatcher,0.0004,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\10_50W_CW5_50.wav
3.0,6.0,Contopus virens,Eastern Wood-Pewee,0.0003,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\10_50W_CW5_50.wav
3.0,6.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0003,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\10_50W_CW5_50.wav
3.0,6.0,Zenaida macroura,Mourning Dove,0.0003,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\10_50W_CW5_50.wav
3.0,6.0,Thryothorus ludovicianus,Carolina Wren,0.0000,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\10_50W_CW5_50.wav
