Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Thryothorus ludovicianus,Carolina Wren,0.0149,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\21_50S_CW5_50.wav
0,3.0,Empidonax virescens,Acadian Flycatcher,0.0107,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\21_50S_CW5_50.wav
0,3.0,Zenaida macroura,Mourning Dove,0.0068,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\21_50S_CW5_50.wav
0,3.0,Contopus virens,Eastern Wood-Pewee,0.0053,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\21_50S_CW5_50.wav
0,3.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0021,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\21_50S_CW5_50.wav
0,3.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0004,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\21_50S_CW5_50.wav
3.0,6.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0012,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\21_50S_CW5_50.wav
3.0,6.0,Zenaida macroura,Mourning Dove,0.0010,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\21_50S_CW5_50.wav
3.0,6.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0008,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\21_50S_CW5_50.wav
3.0,6.0,Empidonax virescens,Acadian Flycatcher,0.0007,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\21_50S_CW5_50.wav
3.0,6.0,Contopus virens,Eastern Wood-Pewee,0.0006,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\21_50S_CW5_50.wav
3.0,6.0,Thryothorus ludovicianus,Carolina Wren,0.0003,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\21_50S_CW5_50.wav
6.0,9.0,Empidonax virescens,Acadian Flycatcher,0.0015,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\21_50S_CW5_50.wav
6.0,9.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0008,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\21_50S_CW5_50.wav
6.0,9.0,Zenaida macroura,Mourning Dove,0.0005,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\21_50S_CW5_50.wav
6.0,9.0,Contopus virens,Eastern Wood-Pewee,0.0005,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\21_50S_CW5_50.wav
6.0,9.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0004,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\21_50S_CW5_50.wav
6.0,9.0,Thryothorus ludovicianus,Carolina Wren,0.0001,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\21_50S_CW5_50.wav
